date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:26	6821/6821	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2008:46:25%20GMT	https://altoromutual.com/robots.txt		(from )
14:16:26	9227/9227	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:25%20GMT	https://altoromutual.com/	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index.html	(from )
14:16:27	1165/1165	---M--	200	added ('OK')	text/css	etag:W/%221165-1699535696000%22	https://altoromutual.com/style.css	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/style.css	(from https://altoromutual.com/)
14:16:29	9227/9227	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:28%20GMT	https://altoromutual.com/index.jsp	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index-2.html	(from https://altoromutual.com/)
14:16:30	4989/4989	---M--	200	added ('OK')	image/gif	etag:W/%224989-1699535696000%22	https://altoromutual.com/images/logo.gif	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/logo.gif	(from https://altoromutual.com/)
14:16:31	8360/8360	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:30%20GMT	https://altoromutual.com/login.jsp	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/login.html	(from https://altoromutual.com/)
14:16:32	9946/9946	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:31%20GMT	https://altoromutual.com/index.jsp?content=inside_contact.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index86eb.html	(from https://altoromutual.com/)
14:16:33	8351/8351	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:32%20GMT	https://altoromutual.com/feedback.jsp	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/feedback.html	(from https://altoromutual.com/)
14:16:34	894/894	---M--	200	added ('OK')	image/jpeg	etag:W/%22894-1699535696000%22	https://altoromutual.com/images/gradient.jpg	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/gradient.jpg	(from https://altoromutual.com/)
14:16:35	16209/16209	---M--	200	added ('OK')	image/jpeg	etag:W/%2216209-1699535696000%22	https://altoromutual.com/images/header_pic.jpg	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/header_pic.jpg	(from https://altoromutual.com/)
14:16:36	76/76	---M--	200	added ('OK')	image/gif	etag:W/%2276-1699535696000%22	https://altoromutual.com/images/pf_lock.gif	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/pf_lock.gif	(from https://altoromutual.com/)
14:16:38	8353/8353	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:37%20GMT	https://altoromutual.com/index.jsp?content=personal.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexfadf.html	(from https://altoromutual.com/)
14:16:39	8351/8351	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:38%20GMT	https://altoromutual.com/index.jsp?content=business.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index2a69.html	(from https://altoromutual.com/)
14:16:40	8236/8236	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:39%20GMT	https://altoromutual.com/index.jsp?content=inside.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index4a61.html	(from https://altoromutual.com/)
14:16:41	8018/8018	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:40%20GMT	https://altoromutual.com/index.jsp?content=personal_deposit.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexeb20.html	(from https://altoromutual.com/)
14:16:42	7924/7924	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:41%20GMT	https://altoromutual.com/index.jsp?content=personal_checking.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexc207.html	(from https://altoromutual.com/)
14:16:43	7666/7666	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:42%20GMT	https://altoromutual.com/index.jsp?content=personal_loans.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexaf95.html	(from https://altoromutual.com/)
14:16:45	8029/8029	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:43%20GMT	https://altoromutual.com/index.jsp?content=personal_cards.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexb7e6.html	(from https://altoromutual.com/)
14:16:46	8087/8087	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:45%20GMT	https://altoromutual.com/index.jsp?content=personal_investments.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexb374.html	(from https://altoromutual.com/)
14:16:47	7684/7684	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:46%20GMT	https://altoromutual.com/index.jsp?content=personal_other.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index0064.html	(from https://altoromutual.com/)
14:16:48	7718/7718	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:47%20GMT	https://altoromutual.com/index.jsp?content=business_deposit.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index7bb7.html	(from https://altoromutual.com/)
14:16:49	7713/7713	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:48%20GMT	https://altoromutual.com/index.jsp?content=business_lending.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexad11.html	(from https://altoromutual.com/)
14:16:51	7900/7900	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:49%20GMT	https://altoromutual.com/index.jsp?content=business_cards.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index6349.html	(from https://altoromutual.com/)
14:16:52	7582/7582	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:51%20GMT	https://altoromutual.com/index.jsp?content=business_insurance.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index5788.html	(from https://altoromutual.com/)
14:16:53	6820/6820	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:52%20GMT	https://altoromutual.com/index.jsp?content=business_retirement.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexdb9a.html	(from https://altoromutual.com/)
14:16:54	7563/7563	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:53%20GMT	https://altoromutual.com/index.jsp?content=business_other.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index2345.html	(from https://altoromutual.com/)
14:16:55	7790/7790	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:54%20GMT	https://altoromutual.com/index.jsp?content=inside_about.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexca85.html	(from https://altoromutual.com/)
14:16:56	6821/6821	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2008:46:55%20GMT	https://altoromutual.com/cgi.exe	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/cgi.19.delayed	(from https://altoromutual.com/)
14:16:58	8139/8139	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:56%20GMT	https://altoromutual.com/index.jsp?content=inside_investor.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index0aa1.html	(from https://altoromutual.com/)
14:16:59	9119/9119	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:57%20GMT	https://altoromutual.com/index.jsp?content=inside_press.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexf172.html	(from https://altoromutual.com/)
14:17:00	8170/8170	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:46:58%20GMT	https://altoromutual.com/index.jsp?content=inside_careers.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/indexed9a.html	(from https://altoromutual.com/)
14:17:01	8358/8358	---MC-	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:47:00%20GMT	https://altoromutual.com/subscribe.jsp	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/subscribe.html	(from https://altoromutual.com/)
14:17:02	6818/6818	---M--	200	added ('OK')	text/html	date:Sat,%2026%20Oct%202024%2008:47:01%20GMT	https://altoromutual.com/index.jsp?content=personal_savings.htm	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/index7114.html	(from https://altoromutual.com/)
14:17:03	7900/7900	---M--	200	added ('OK')	image/jpeg	etag:W/%227900-1699535696000%22	https://altoromutual.com/images/home1.jpg	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/home1.jpg	(from https://altoromutual.com/)
14:17:05	5904/5904	---M--	200	added ('OK')	image/jpeg	etag:W/%225904-1699535696000%22	https://altoromutual.com/images/home2.jpg	C:/Users/Amit%20Kumar/Desktop/hack/new/altoromutual.com/images/home2.jpg	(from https://altoromutual.com/)
